0	0
0	1
0	2
0	3
0	4
0	5
0	6
0	7
0	8
0	9
0	10
1	10
0	11
1	11
0	12
1	12
0	13
1	13
0	14
1	14
0	15
1	15
0	16
1	16
0	17
1	17
0	18
1	18
0	19
2	19
0	20
2	20
0	21
2	21
0	22
2	22
0	23
2	23
0	24
2	24
0	25
2	25
0	26
2	26
0	27
2	27
0	28
2	28
3	29
3	30
3	31
3	32
3	33
3	34
3	35
3	36
3	37
3	38
0	39
4	39
0	40
4	40
0	41
4	41
0	42
4	42
0	43
4	43
0	44
4	44
0	45
4	45
0	46
4	46
0	47
4	47
0	48
4	48
5	49
6	49
5	50
6	50
5	51
6	51
5	52
6	52
5	53
6	53
5	54
6	54
5	55
6	55
5	56
6	56
5	57
6	57
5	58
6	58
7	59
8	59
7	60
8	60
7	61
8	61
7	62
8	62
8	63
8	64
8	65
8	66
8	66
9	66
8	67
9	67
5	68
10	68
5	69
10	69
5	70
10	70
5	71
10	71
5	72
10	72
5	73
10	73
5	74
10	74
5	75
10	75
11	76
12	76
11	77
12	77
11	78
12	78
11	79
12	79
11	80
12	80
12	81
12	82
12	83
12	84
12	85
12	86
0	87
13	87
0	88
13	88
0	89
13	89
0	90
13	90
0	91
13	91
0	92
13	92
7	93
13	93
14	93
7	94
13	94
14	94
7	95
13	95
14	95
3	66
5	66
7	66
3	96
5	96
7	96
3	97
5	97
7	97
3	98
5	98
7	98
3	99
5	99
7	99
3	100
5	100
7	100
3	101
5	101
7	101
3	102
5	102
7	102
3	103
5	103
7	103
8	104
8	105
8	106
15	107
16	107
17	107
